epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
1,1.285167990719421,0.730191256830601,0.7748622789214265,0.7518638345758897,0.7442551649148242,0.8238983207030947,0.8047306125226152,0.4894249300316535,5345,4922,1975,1553,0.001,0.5365360261703497
2,0.9909764207243358,0.7918137831829476,0.8777906639605683,0.8325885183911997,0.8234867705690467,0.8988381752576631,0.8775158626481114,0.6508193670226377,6055,5305,1592,843,0.001,0.4709222955317462
3,0.8702087589431906,0.8136039083051484,0.9415772687735575,0.8729252066393387,0.8629213483146068,0.9385940845274456,0.9265695093437313,0.7349901658387583,6495,5409,1488,403,0.001,0.44958657215955306
4,0.8000686570802172,0.8881506090808416,0.9301246738184981,0.9086531652740405,0.906487857919536,0.962476878333149,0.9566957383193218,0.8138846319955043,6416,6089,808,482,0.001,0.4394469570660448
5,0.7449235838796402,0.9085594989561586,0.9463612641345317,0.9270751970460839,0.9255527364987314,0.9730353262033619,0.9683628693909797,0.8518427583676564,6528,6240,657,370,0.001,0.4323677174325178
6,0.7199572854389441,0.9129832340307606,0.9552044070745144,0.9336167198016295,0.9320768394345778,0.9760817782999514,0.9716859513444703,0.8650788987279007,6589,6269,628,309,0.001,0.4282612836280458
7,0.6963062547349809,0.9455013588900014,0.9582487677587707,0.9518323853409173,0.9515041681768757,0.9858401085634275,0.9829874742788915,0.9030903336939665,6610,6516,381,288,0.001,0.42457573202019067
8,0.677017974326385,0.9363110008271298,0.9846332270223254,0.9598643301300169,0.9588256614715477,0.9906987747014189,0.9893984977192711,0.9188757325134703,6792,6435,462,106,0.001,0.42207676948453576
9,0.6589134029263645,0.959076001711108,0.9750652363003769,0.9670045287901661,0.9667270750271838,0.9913417631333232,0.9904138833615189,0.9335838370434076,6726,6610,287,172,0.001,0.41916506770305567
10,0.6503506053353877,0.938312132403228,0.99449115685706,0.9655851924836372,0.9645523740485683,0.992432303294893,0.9899255169316714,0.9307744717101436,6860,6446,451,38,0.001,0.4171421761747858
11,0.6374433889428789,0.9736651714657792,0.9755001449695564,0.9745817944818597,0.9745559985501994,0.9940643300777504,0.9924828949062034,0.9491136756260056,6729,6715,182,169,0.001,0.4150601362891228
12,0.629001801348372,0.9642555586828032,0.9933314004059147,0.9785775492716366,0.9782529902138456,0.9954015833273532,0.9940700054729036,0.9569410953889772,6852,6643,254,46,0.001,0.41314944847848434
13,0.6221927368066241,0.9705924136951272,0.9904320092780516,0.9804118533400301,0.9802102210945995,0.9971634563382258,0.996886919771664,0.9606211185652657,6832,6690,207,66,0.001,0.41161643366430306
14,0.6158419819922065,0.9760091940813101,0.9849231661351117,0.9804459196190202,0.9803552011598405,0.9964321766751151,0.9959075593519813,0.9607504524271604,6794,6730,167,104,0.001,0.41046895824348484
15,0.6099438954324297,0.9819884726224783,0.987967526819368,0.9849689261453968,0.984922073214933,0.9980156910995334,0.9978284028742266,0.9698621133698481,6815,6772,125,83,0.001,0.40858069648031153
16,0.6063953808962154,0.9733560090702947,0.9956509133082053,0.9843772395012182,0.9841971728887278,0.9978603695775721,0.9975717577557878,0.9686484637700651,6868,6709,188,30,0.001,0.4075569383018245
